"Kommunale regnskaber (1000 kr.) efter prisenhed, art, dranst,"
"hovedkonto, område og tid"

" ";" ";" ";" ";" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Pr. indbygger, løbende priser (kr.)"
" ";"I alt (netto)"
" ";" ";"1 Driftskonti"
" ";" ";" ";"I alt hovedkonto 0-6"
" ";" ";" ";" ";"Vejle";56711;58995;56337;55621;55293;56343;56661;57306
" ";" ";" ";" ";"Aabenraa";63533;65796;63189;62770;64720;65456;65523;66897
" ";" ";" ";" ";"Region Midtjylland";59227;62250;59799;59666;60136;60437;60688;61795
" ";" ";" ";" ";"Favrskov";53379;57145;55577;55242;56239;56031;55489;56539
" ";" ";" ";" ";"Hedensted";55923;59114;57052;57655;58200;59887;59914;61040
" ";" ";" ";" ";"Horsens";61632;65606;63169;62712;62557;62232;61954;62675
" ";" ";" ";" ";"Norddjurs";62536;65689;63400;63996;65349;66421;67502;67425
" ";" ";" ";" ";"Odder";56200;59763;59238;58790;61483;61096;59869;61904
" ";" ";" ";" ";"Randers";64095;67145;63671;62627;62896;64231;64929;65126
" ";" ";" ";" ";"Samsø";73198;79180;78169;76004;76434;80294;74499;79065
" ";" ";" ";" ";"Silkeborg";55469;58463;57582;58031;58762;59137;59650;60698
" ";" ";" ";" ";"Skanderborg";54815;57244;56314;56586;56134;57211;56804;57991
" ";" ";" ";" ";"Syddjurs";59808;64054;62620;61372;61508;62740;62542;63802
" ";" ";" ";" ";"Aarhus";60642;63396;59298;59378;59412;58992;59041;60390
" ";" ";" ";" ";"Herning";57179;60316;58342;58114;58658;58201;59426;59810
" ";" ";" ";" ";"Holstebro";58948;61170;59749;59593;60213;59792;59895;61102
" ";" ";" ";" ";"Ikast-Brande";58572;61259;59978;60088;60850;61033;62140;62964
" ";" ";" ";" ";"Lemvig";60091;61799;59668;59618;60998;61321;62322;65293
" ";" ";" ";" ";"Ringkøbing-Skjern";58328;61617;60410;59831;60409;62847;62898;64864
" ";" ";" ";" ";"Skive";61231;65044;61893;61809;62174;63824;64199;65790
" ";" ";" ";" ";"Struer";60361;63190;62233;63200;63355;62974;63570;65096
" ";" ";" ";" ";"Viborg";58230;60600;58239;57903;59579;59670;60525;61800
" ";" ";" ";" ";"Region Nordjylland";62785;65880;63312;62956;63350;63888;64270;65250
" ";" ";" ";" ";"Brønderslev";64031;67388;65667;65582;65650;65756;66006;65773
" ";" ";" ";" ";"Frederikshavn";65537;69438;67169;67480;67157;67519;67709;68650
" ";" ";" ";" ";"Hjørring";63574;67351;65792;66175;66087;66006;66366;68123
" ";" ";" ";" ";"Jammerbugt";63456;65909;63473;63468;63669;65254;64452;65780
" ";" ";" ";" ";"Læsø";78078;84266;83468;86817;89900;90581;93938;100948
" ";" ";" ";" ";"Mariagerfjord";61560;64210;61664;61844;61690;63963;64328;64586
" ";" ";" ";" ";"Morsø";66324;70309;68566;68481;68865;69438;71173;73599
" ";" ";" ";" ";"Rebild";54592;57340;56905;57123;57732;57458;58680;59423
" ";" ";" ";" ";"Thisted";62413;65954;63981;63524;63543;63845;65067;66498
" ";" ";" ";" ";"Vesthimmerlands";64713;68177;65070;64034;65184;65777;64912;65934
" ";" ";" ";" ";"Aalborg";61958;64535;60966;60002;60893;61389;61881;62697

