"Kommunale budgetter (1000 kr.) efter prisenhed, art, dranst,"
"hovedkonto, kommune og tid"

" ";" ";" ";" ";" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Pr. indbygger, løbende priser (kr.)"
" ";"I alt (netto)"
" ";" ";"1 Driftskonti"
" ";" ";" ";"I alt hovedkonto 0-6"
" ";" ";" ";" ";"Vejle";57827;60452;61467;57643;57124;58331;57868;57922
" ";" ";" ";" ";"Aabenraa";63217;65710;65329;63779;65174;66536;67505;67826
" ";" ";" ";" ";"Region Midtjylland";60755;63919;65197;61875;61269;62266;62282;62524
" ";" ";" ";" ";"Favrskov";55656;59007;60269;57378;57331;58693;58019;57859
" ";" ";" ";" ";"Hedensted";56043;59348;61249;59110;58672;59637;59939;60910
" ";" ";" ";" ";"Horsens";63214;66207;66676;62335;62916;63087;63537;63562
" ";" ";" ";" ";"Norddjurs";64420;69557;69035;65492;65445;67612;67722;66980
" ";" ";" ";" ";"Odder";57620;61224;60368;60719;61401;62279;62541;61623
" ";" ";" ";" ";"Randers";64776;66776;69109;64993;64293;64574;65391;65773
" ";" ";" ";" ";"Samsø";74660;79113;82863;77671;75652;77901;80980;78962
" ";" ";" ";" ";"Silkeborg";57454;60610;62969;59689;59604;61293;61322;61596
" ";" ";" ";" ";"Skanderborg";55853;59541;61380;60512;59145;59134;59329;58556
" ";" ";" ";" ";"Syddjurs";60382;63606;65414;61794;63264;64161;63665;62975
" ";" ";" ";" ";"Aarhus";62816;66084;66676;62566;60976;61990;61560;61310
" ";" ";" ";" ";"Herning";59182;61638;63149;58961;59441;59845;59386;60582
" ";" ";" ";" ";"Holstebro";59615;63283;64137;64401;60909;61581;61826;62654
" ";" ";" ";" ";"Ikast-Brande";59908;63870;66262;62446;61900;63718;63797;63064
" ";" ";" ";" ";"Lemvig";62194;63858;65011;60651;61301;63846;64267;66199
" ";" ";" ";" ";"Ringkøbing-Skjern";58706;61658;63611;61111;61488;62891;63606;65013
" ";" ";" ";" ";"Skive";63883;66907;67748;64605;64100;66305;65305;66659
" ";" ";" ";" ";"Struer";62795;65765;67535;64680;64995;64822;65786;66612
" ";" ";" ";" ";"Viborg";58853;62121;63744;60254;59922;61216;61783;62992
" ";" ";" ";" ";"Region Nordjylland";63225;66319;65155;63416;63187;64618;64926;65316
" ";" ";" ";" ";"Brønderslev";63557;67773;69171;65382;65361;68212;67666;68440
