EJER;BILSEG;ENHED;TID;INDHOLD
I erhvervene;Luxury;Gennemsnitlig slagvolumen (cm3);2005M07;0,0
I erhvervene;Sport;Ny registrerede biler (antal);2005M07;10,0
I erhvervene;Sport;Købspris (mio. kr);2005M07;4,8
I erhvervene;Sport;Gennemsnitlig købspris (kr.);2005M07;475052,0
I erhvervene;Sport;Gennemsnitlig motoreffekt (kW);2005M07;0,0
I erhvervene;Sport;Gennemsnitlig km pr liter (liter);2005M07;10,5
I erhvervene;Sport;Gennemsnitlig slagvolumen (cm3);2005M07;0,0
I erhvervene;Small MPV;Ny registrerede biler (antal);2005M07;217,0
I erhvervene;Small MPV;Købspris (mio. kr);2005M07;51,2
I erhvervene;Small MPV;Gennemsnitlig købspris (kr.);2005M07;236130,0
I erhvervene;Small MPV;Gennemsnitlig motoreffekt (kW);2005M07;0,0
I erhvervene;Small MPV;Gennemsnitlig km pr liter (liter);2005M07;14,3
I erhvervene;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M07;0,0
I erhvervene;Large MPV;Ny registrerede biler (antal);2005M07;256,0
I erhvervene;Large MPV;Købspris (mio. kr);2005M07;83,8
I erhvervene;Large MPV;Gennemsnitlig købspris (kr.);2005M07;327254,0
I erhvervene;Large MPV;Gennemsnitlig motoreffekt (kW);2005M07;92,0
I erhvervene;Large MPV;Gennemsnitlig km pr liter (liter);2005M07;13,1
I erhvervene;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M07;1796,0
I alt;I alt;Ny registrerede biler (antal);2005M08;11964,0
I alt;I alt;Købspris (mio. kr);2005M08;2899,4
I alt;I alt;Gennemsnitlig købspris (kr.);2005M08;242342,0
I alt;I alt;Gennemsnitlig motoreffekt (kW);2005M08;40,0
I alt;I alt;Gennemsnitlig km pr liter (liter);2005M08;15,6
I alt;I alt;Gennemsnitlig slagvolumen (cm3);2005M08;1198,0
I alt;Mini;Ny registrerede biler (antal);2005M08;1300,0
I alt;Mini;Købspris (mio. kr);2005M08;154,3
I alt;Mini;Gennemsnitlig købspris (kr.);2005M08;118702,0
I alt;Mini;Gennemsnitlig motoreffekt (kW);2005M08;40,0
I alt;Mini;Gennemsnitlig km pr liter (liter);2005M08;18,4
I alt;Mini;Gennemsnitlig slagvolumen (cm3);2005M08;1198,0
I alt;Small SUV;Ny registrerede biler (antal);2005M08;241,0
I alt;Small SUV;Købspris (mio. kr);2005M08;54,2
I alt;Small SUV;Gennemsnitlig købspris (kr.);2005M08;224764,0
I alt;Small SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Small SUV;Gennemsnitlig km pr liter (liter);2005M08;12,3
I alt;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Medium SUV;Ny registrerede biler (antal);2005M08;59,0
I alt;Medium SUV;Købspris (mio. kr);2005M08;22,4
I alt;Medium SUV;Gennemsnitlig købspris (kr.);2005M08;380232,0
I alt;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Medium SUV;Gennemsnitlig km pr liter (liter);2005M08;11,5
I alt;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Large SUV;Ny registrerede biler (antal);2005M08;37,0
I alt;Large SUV;Købspris (mio. kr);2005M08;27,7
I alt;Large SUV;Gennemsnitlig købspris (kr.);2005M08;747630,0
I alt;Large SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Large SUV;Gennemsnitlig km pr liter (liter);2005M08;10,4
I alt;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Andre bilsegmenter;Ny registrerede biler (antal);2005M08;0,0
I alt;Andre bilsegmenter;Købspris (mio. kr);2005M08;0,0
I alt;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M08;0,0
I alt;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M08;0,0
I alt;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Uoplyst;Ny registrerede biler (antal);2005M08;192,0
I alt;Uoplyst;Købspris (mio. kr);2005M08;108,9
I alt;Uoplyst;Gennemsnitlig købspris (kr.);2005M08;567143,0
I alt;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Uoplyst;Gennemsnitlig km pr liter (liter);2005M08;11,3
I alt;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Small;Ny registrerede biler (antal);2005M08;3195,0
I alt;Small;Købspris (mio. kr);2005M08;498,5
I alt;Small;Gennemsnitlig købspris (kr.);2005M08;156040,0
I alt;Small;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Small;Gennemsnitlig km pr liter (liter);2005M08;17,5
I alt;Small;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Medium;Ny registrerede biler (antal);2005M08;2922,0
I alt;Medium;Købspris (mio. kr);2005M08;710,3
I alt;Medium;Gennemsnitlig købspris (kr.);2005M08;243104,0
I alt;Medium;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Medium;Gennemsnitlig km pr liter (liter);2005M08;15,6
I alt;Medium;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Large;Ny registrerede biler (antal);2005M08;2427,0
I alt;Large;Købspris (mio. kr);2005M08;813,0
I alt;Large;Gennemsnitlig købspris (kr.);2005M08;334983,0
I alt;Large;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Large;Gennemsnitlig km pr liter (liter);2005M08;13,7

I alt;Large;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Executive;Ny registrerede biler (antal);2005M08;219,0
I alt;Executive;Købspris (mio. kr);2005M08;149,4
I alt;Executive;Gennemsnitlig købspris (kr.);2005M08;682180,0
I alt;Executive;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Executive;Gennemsnitlig km pr liter (liter);2005M08;11,6
I alt;Executive;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Luxury;Ny registrerede biler (antal);2005M08;8,0
I alt;Luxury;Købspris (mio. kr);2005M08;7,3
I alt;Luxury;Gennemsnitlig købspris (kr.);2005M08;914338,0
I alt;Luxury;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Luxury;Gennemsnitlig km pr liter (liter);2005M08;8,7
I alt;Luxury;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Sport;Ny registrerede biler (antal);2005M08;14,0
I alt;Sport;Købspris (mio. kr);2005M08;12,4
I alt;Sport;Gennemsnitlig købspris (kr.);2005M08;888414,0
I alt;Sport;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Sport;Gennemsnitlig km pr liter (liter);2005M08;11,0
I alt;Sport;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Small MPV;Ny registrerede biler (antal);2005M08;929,0
I alt;Small MPV;Købspris (mio. kr);2005M08;200,3
I alt;Small MPV;Gennemsnitlig købspris (kr.);2005M08;215572,0
I alt;Small MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Small MPV;Gennemsnitlig km pr liter (liter);2005M08;14,6
I alt;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;Large MPV;Ny registrerede biler (antal);2005M08;421,0
I alt;Large MPV;Købspris (mio. kr);2005M08;140,6
I alt;Large MPV;Gennemsnitlig købspris (kr.);2005M08;333966,0
I alt;Large MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I alt;Large MPV;Gennemsnitlig km pr liter (liter);2005M08;12,8
I alt;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;I alt;Ny registrerede biler (antal);2005M08;7971,0
I husholdningerne;I alt;Købspris (mio. kr);2005M08;1753,1
I husholdningerne;I alt;Gennemsnitlig købspris (kr.);2005M08;219929,0
I husholdningerne;I alt;Gennemsnitlig motoreffekt (kW);2005M08;40,0
I husholdningerne;I alt;Gennemsnitlig km pr liter (liter);2005M08;16,0
I husholdningerne;I alt;Gennemsnitlig slagvolumen (cm3);2005M08;1198,0
I husholdningerne;Mini;Ny registrerede biler (antal);2005M08;1095,0
I husholdningerne;Mini;Købspris (mio. kr);2005M08;130,1
I husholdningerne;Mini;Gennemsnitlig købspris (kr.);2005M08;118804,0
I husholdningerne;Mini;Gennemsnitlig motoreffekt (kW);2005M08;40,0
I husholdningerne;Mini;Gennemsnitlig km pr liter (liter);2005M08;18,6
I husholdningerne;Mini;Gennemsnitlig slagvolumen (cm3);2005M08;1198,0
I husholdningerne;Small SUV;Ny registrerede biler (antal);2005M08;142,0
I husholdningerne;Small SUV;Købspris (mio. kr);2005M08;29,2
I husholdningerne;Small SUV;Gennemsnitlig købspris (kr.);2005M08;205880,0
I husholdningerne;Small SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Small SUV;Gennemsnitlig km pr liter (liter);2005M08;12,9
I husholdningerne;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Medium SUV;Ny registrerede biler (antal);2005M08;43,0
I husholdningerne;Medium SUV;Købspris (mio. kr);2005M08;16,3
I husholdningerne;Medium SUV;Gennemsnitlig købspris (kr.);2005M08;379127,0
I husholdningerne;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Medium SUV;Gennemsnitlig km pr liter (liter);2005M08;11,5
I husholdningerne;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Large SUV;Ny registrerede biler (antal);2005M08;20,0
I husholdningerne;Large SUV;Købspris (mio. kr);2005M08;14,0
I husholdningerne;Large SUV;Gennemsnitlig købspris (kr.);2005M08;702224,0
I husholdningerne;Large SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Large SUV;Gennemsnitlig km pr liter (liter);2005M08;10,3
I husholdningerne;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Ny registrerede biler (antal);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Købspris (mio. kr);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M08;0,0
I husholdningerne;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Uoplyst;Ny registrerede biler (antal);2005M08;106,0
I husholdningerne;Uoplyst;Købspris (mio. kr);2005M08;59,3
I husholdningerne;Uoplyst;Gennemsnitlig købspris (kr.);2005M08;559155,0
I husholdningerne;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Uoplyst;Gennemsnitlig km pr liter (liter);2005M08;10,7
I husholdningerne;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Small;Ny registrerede biler (antal);2005M08;2575,0
I husholdningerne;Small;Købspris (mio. kr);2005M08;403,8
I husholdningerne;Small;Gennemsnitlig købspris (kr.);2005M08;156803,0
I husholdningerne;Small;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Small;Gennemsnitlig km pr liter (liter);2005M08;17,4
I husholdningerne;Small;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Medium;Ny registrerede biler (antal);2005M08;1862,0
I husholdningerne;Medium;Købspris (mio. kr);2005M08;440,4
I husholdningerne;Medium;Gennemsnitlig købspris (kr.);2005M08;236506,0
I husholdningerne;Medium;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Medium;Gennemsnitlig km pr liter (liter);2005M08;15,5
I husholdningerne;Medium;Gennemsnitlig slagvolumen (cm3);2005M08;0,0

I husholdningerne;Large;Ny registrerede biler (antal);2005M08;1049,0
I husholdningerne;Large;Købspris (mio. kr);2005M08;340,9
I husholdningerne;Large;Gennemsnitlig købspris (kr.);2005M08;324984,0
I husholdningerne;Large;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Large;Gennemsnitlig km pr liter (liter);2005M08;13,8
I husholdningerne;Large;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Executive;Ny registrerede biler (antal);2005M08;117,0
I husholdningerne;Executive;Købspris (mio. kr);2005M08;79,9
I husholdningerne;Executive;Gennemsnitlig købspris (kr.);2005M08;682828,0
I husholdningerne;Executive;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Executive;Gennemsnitlig km pr liter (liter);2005M08;12,2
I husholdningerne;Executive;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Luxury;Ny registrerede biler (antal);2005M08;3,0
I husholdningerne;Luxury;Købspris (mio. kr);2005M08;1,8
I husholdningerne;Luxury;Gennemsnitlig købspris (kr.);2005M08;588603,0
I husholdningerne;Luxury;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Luxury;Gennemsnitlig km pr liter (liter);2005M08;8,8
I husholdningerne;Luxury;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Sport;Ny registrerede biler (antal);2005M08;10,0
I husholdningerne;Sport;Købspris (mio. kr);2005M08;8,9
I husholdningerne;Sport;Gennemsnitlig købspris (kr.);2005M08;890887,0
I husholdningerne;Sport;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Sport;Gennemsnitlig km pr liter (liter);2005M08;11,7
I husholdningerne;Sport;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Small MPV;Ny registrerede biler (antal);2005M08;694,0
I husholdningerne;Small MPV;Købspris (mio. kr);2005M08;146,0
I husholdningerne;Small MPV;Gennemsnitlig købspris (kr.);2005M08;210427,0
I husholdningerne;Small MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Small MPV;Gennemsnitlig km pr liter (liter);2005M08;14,6
I husholdningerne;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I husholdningerne;Large MPV;Ny registrerede biler (antal);2005M08;255,0
I husholdningerne;Large MPV;Købspris (mio. kr);2005M08;82,5
I husholdningerne;Large MPV;Gennemsnitlig købspris (kr.);2005M08;323360,0
I husholdningerne;Large MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I husholdningerne;Large MPV;Gennemsnitlig km pr liter (liter);2005M08;12,8
I husholdningerne;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;I alt;Ny registrerede biler (antal);2005M08;3993,0
I erhvervene;I alt;Købspris (mio. kr);2005M08;1146,3
I erhvervene;I alt;Gennemsnitlig købspris (kr.);2005M08;287086,0
I erhvervene;I alt;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;I alt;Gennemsnitlig km pr liter (liter);2005M08;14,8
I erhvervene;I alt;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Mini;Ny registrerede biler (antal);2005M08;205,0
I erhvervene;Mini;Købspris (mio. kr);2005M08;24,2
I erhvervene;Mini;Gennemsnitlig købspris (kr.);2005M08;118153,0
I erhvervene;Mini;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Mini;Gennemsnitlig km pr liter (liter);2005M08;17,7
I erhvervene;Mini;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Small SUV;Ny registrerede biler (antal);2005M08;99,0
I erhvervene;Small SUV;Købspris (mio. kr);2005M08;24,9
I erhvervene;Small SUV;Gennemsnitlig købspris (kr.);2005M08;251849,0
I erhvervene;Small SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Small SUV;Gennemsnitlig km pr liter (liter);2005M08;11,4
I erhvervene;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Medium SUV;Ny registrerede biler (antal);2005M08;16,0
I erhvervene;Medium SUV;Købspris (mio. kr);2005M08;6,1
I erhvervene;Medium SUV;Gennemsnitlig købspris (kr.);2005M08;383199,0
I erhvervene;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Medium SUV;Gennemsnitlig km pr liter (liter);2005M08;11,5
I erhvervene;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Large SUV;Ny registrerede biler (antal);2005M08;17,0
I erhvervene;Large SUV;Købspris (mio. kr);2005M08;13,6
I erhvervene;Large SUV;Gennemsnitlig købspris (kr.);2005M08;801048,0
I erhvervene;Large SUV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Large SUV;Gennemsnitlig km pr liter (liter);2005M08;10,5
I erhvervene;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Andre bilsegmenter;Ny registrerede biler (antal);2005M08;0,0
I erhvervene;Andre bilsegmenter;Købspris (mio. kr);2005M08;0,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M08;0,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M08;0,0
I erhvervene;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Uoplyst;Ny registrerede biler (antal);2005M08;86,0
I erhvervene;Uoplyst;Købspris (mio. kr);2005M08;49,6
I erhvervene;Uoplyst;Gennemsnitlig købspris (kr.);2005M08;576988,0
I erhvervene;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Uoplyst;Gennemsnitlig km pr liter (liter);2005M08;12,0
I erhvervene;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Small;Ny registrerede biler (antal);2005M08;620,0
I erhvervene;Small;Købspris (mio. kr);2005M08;94,8
I erhvervene;Small;Gennemsnitlig købspris (kr.);2005M08;152872,0
I erhvervene;Small;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Small;Gennemsnitlig km pr liter (liter);2005M08;17,7
I erhvervene;Small;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Medium;Ny registrerede biler (antal);2005M08;1060,0
I erhvervene;Medium;Købspris (mio. kr);2005M08;270,0
I erhvervene;Medium;Gennemsnitlig købspris (kr.);2005M08;254694,0
I erhvervene;Medium;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Medium;Gennemsnitlig km pr liter (liter);2005M08;15,6
I erhvervene;Medium;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Large;Ny registrerede biler (antal);2005M08;1378,0
I erhvervene;Large;Købspris (mio. kr);2005M08;472,1
I erhvervene;Large;Gennemsnitlig købspris (kr.);2005M08;342595,0
I erhvervene;Large;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Large;Gennemsnitlig km pr liter (liter);2005M08;13,7
I erhvervene;Large;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Executive;Ny registrerede biler (antal);2005M08;102,0
I erhvervene;Executive;Købspris (mio. kr);2005M08;69,5
I erhvervene;Executive;Gennemsnitlig købspris (kr.);2005M08;681437,0
I erhvervene;Executive;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Executive;Gennemsnitlig km pr liter (liter);2005M08;11,0
I erhvervene;Executive;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Luxury;Ny registrerede biler (antal);2005M08;5,0
I erhvervene;Luxury;Købspris (mio. kr);2005M08;5,5
I erhvervene;Luxury;Gennemsnitlig købspris (kr.);2005M08;1109779,0
I erhvervene;Luxury;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Luxury;Gennemsnitlig km pr liter (liter);2005M08;8,7
I erhvervene;Luxury;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Sport;Ny registrerede biler (antal);2005M08;4,0
I erhvervene;Sport;Købspris (mio. kr);2005M08;3,5
I erhvervene;Sport;Gennemsnitlig købspris (kr.);2005M08;882232,0
I erhvervene;Sport;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Sport;Gennemsnitlig km pr liter (liter);2005M08;9,2
I erhvervene;Sport;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Small MPV;Ny registrerede biler (antal);2005M08;235,0
I erhvervene;Small MPV;Købspris (mio. kr);2005M08;54,2
I erhvervene;Small MPV;Gennemsnitlig købspris (kr.);2005M08;230767,0
I erhvervene;Small MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Small MPV;Gennemsnitlig km pr liter (liter);2005M08;14,4
I erhvervene;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I erhvervene;Large MPV;Ny registrerede biler (antal);2005M08;166,0
I erhvervene;Large MPV;Købspris (mio. kr);2005M08;58,1
I erhvervene;Large MPV;Gennemsnitlig købspris (kr.);2005M08;350258,0
I erhvervene;Large MPV;Gennemsnitlig motoreffekt (kW);2005M08;0,0
I erhvervene;Large MPV;Gennemsnitlig km pr liter (liter);2005M08;13,0
I erhvervene;Large MPV;Gennemsnitlig slagvolumen (cm3);2005M08;0,0
I alt;I alt;Ny registrerede biler (antal);2005M09;12605,0
I alt;I alt;Købspris (mio. kr);2005M09;3213,1
I alt;I alt;Gennemsnitlig købspris (kr.);2005M09;254905,0
I alt;I alt;Gennemsnitlig motoreffekt (kW);2005M09;96,0
I alt;I alt;Gennemsnitlig km pr liter (liter);2005M09;15,4
I alt;I alt;Gennemsnitlig slagvolumen (cm3);2005M09;997,0
I alt;Mini;Ny registrerede biler (antal);2005M09;1313,0
I alt;Mini;Købspris (mio. kr);2005M09;164,1
I alt;Mini;Gennemsnitlig købspris (kr.);2005M09;124957,0
I alt;Mini;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Mini;Gennemsnitlig km pr liter (liter);2005M09;17,9
I alt;Mini;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Small SUV;Ny registrerede biler (antal);2005M09;287,0
I alt;Small SUV;Købspris (mio. kr);2005M09;71,6
I alt;Small SUV;Gennemsnitlig købspris (kr.);2005M09;249464,0
I alt;Small SUV;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Small SUV;Gennemsnitlig km pr liter (liter);2005M09;12,0
I alt;Small SUV;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Medium SUV;Ny registrerede biler (antal);2005M09;72,0
I alt;Medium SUV;Købspris (mio. kr);2005M09;26,5
I alt;Medium SUV;Gennemsnitlig købspris (kr.);2005M09;367634,0
I alt;Medium SUV;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Medium SUV;Gennemsnitlig km pr liter (liter);2005M09;11,8
I alt;Medium SUV;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Large SUV;Ny registrerede biler (antal);2005M09;57,0
I alt;Large SUV;Købspris (mio. kr);2005M09;47,6
I alt;Large SUV;Gennemsnitlig købspris (kr.);2005M09;834266,0
I alt;Large SUV;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Large SUV;Gennemsnitlig km pr liter (liter);2005M09;10,4
I alt;Large SUV;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Andre bilsegmenter;Ny registrerede biler (antal);2005M09;0,0
I alt;Andre bilsegmenter;Købspris (mio. kr);2005M09;0,0
I alt;Andre bilsegmenter;Gennemsnitlig købspris (kr.);2005M09;0,0
I alt;Andre bilsegmenter;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Andre bilsegmenter;Gennemsnitlig km pr liter (liter);2005M09;0,0
I alt;Andre bilsegmenter;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Uoplyst;Ny registrerede biler (antal);2005M09;203,0
I alt;Uoplyst;Købspris (mio. kr);2005M09;129,3
I alt;Uoplyst;Gennemsnitlig købspris (kr.);2005M09;637013,0
I alt;Uoplyst;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Uoplyst;Gennemsnitlig km pr liter (liter);2005M09;11,3
I alt;Uoplyst;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Small;Ny registrerede biler (antal);2005M09;2926,0
I alt;Small;Købspris (mio. kr);2005M09;454,6
I alt;Small;Gennemsnitlig købspris (kr.);2005M09;155366,0
I alt;Small;Gennemsnitlig motoreffekt (kW);2005M09;96,0
I alt;Small;Gennemsnitlig km pr liter (liter);2005M09;17,4
I alt;Small;Gennemsnitlig slagvolumen (cm3);2005M09;1896,0
I alt;Medium;Ny registrerede biler (antal);2005M09;2923,0
I alt;Medium;Købspris (mio. kr);2005M09;712,1
I alt;Medium;Gennemsnitlig købspris (kr.);2005M09;243630,0
I alt;Medium;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Medium;Gennemsnitlig km pr liter (liter);2005M09;15,7
I alt;Medium;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Large;Ny registrerede biler (antal);2005M09;2994,0
I alt;Large;Købspris (mio. kr);2005M09;1029,8
I alt;Large;Gennemsnitlig købspris (kr.);2005M09;343970,0
I alt;Large;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Large;Gennemsnitlig km pr liter (liter);2005M09;13,8
I alt;Large;Gennemsnitlig slagvolumen (cm3);2005M09;97,0
I alt;Executive;Ny registrerede biler (antal);2005M09;217,0
I alt;Executive;Købspris (mio. kr);2005M09;144,7
I alt;Executive;Gennemsnitlig købspris (kr.);2005M09;666906,0
I alt;Executive;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Executive;Gennemsnitlig km pr liter (liter);2005M09;11,2
I alt;Executive;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Luxury;Ny registrerede biler (antal);2005M09;5,0
I alt;Luxury;Købspris (mio. kr);2005M09;5,2
I alt;Luxury;Gennemsnitlig købspris (kr.);2005M09;1036251,0
I alt;Luxury;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Luxury;Gennemsnitlig km pr liter (liter);2005M09;7,6
I alt;Luxury;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Sport;Ny registrerede biler (antal);2005M09;11,0
I alt;Sport;Købspris (mio. kr);2005M09;5,8
I alt;Sport;Gennemsnitlig købspris (kr.);2005M09;528275,0
I alt;Sport;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Sport;Gennemsnitlig km pr liter (liter);2005M09;11,5
I alt;Sport;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Small MPV;Ny registrerede biler (antal);2005M09;915,0
I alt;Small MPV;Købspris (mio. kr);2005M09;196,9
I alt;Small MPV;Gennemsnitlig købspris (kr.);2005M09;215242,0
I alt;Small MPV;Gennemsnitlig motoreffekt (kW);2005M09;0,0
I alt;Small MPV;Gennemsnitlig km pr liter (liter);2005M09;14,6
I alt;Small MPV;Gennemsnitlig slagvolumen (cm3);2005M09;0,0
I alt;Large MPV;Ny registrerede biler (antal);2005M09;682,0
I alt;I alt;Ny registrerede biler (antal);2004M01;7706,0
I alt;I alt;Købspris (mio. kr);2004M01;1868,3
I alt;I alt;Gennemsnitlig købspris (kr.);2004M01;242448,0
I alt;I alt;Gennemsnitlig motoreffekt (kW);2004M01;0,0
I alt;I alt;Gennemsnitlig km pr liter (liter);2004M01;15,4
I alt;I alt;Gennemsnitlig slagvolumen (cm3);2004M01;0,0
I alt;Mini;Ny registrerede biler (antal);2004M01;660,0
